fileName;N4_k1;N4_k2;N4_k3;N4_antiCD8_k1;N4_antiCD8_k2;N4_antiCD8_k3
20220302.csv_fit10.txt;6.58E-02;3.56E-01;9.97E-01;;;
20220310.csv_fit10.txt;3.15E-02;2.22E-01;8.60E-02;;;
20220323_test6.csv_fit10.txt;3.87E-02;5.31E-01;6.89E-02;8.99E-04;8.15E-02;3.25E-02
20220427_test7.csv_fit10.txt;2.01E-03;3.82E-01;2.13E-02;1.78E-04;5.28E-02;1.00E-05
20220609_test9.csv_fit10.txt;9.46E-02;2.65E-01;1.11E-01;5.05E-03;7.35E-02;4.59E-02
20220725_test14.csv_fit10.txt;7.71E-02;8.82E-01;9.97E-01;4.71E-04;1.57E-01;9.40E-02
20220818_test16.csv_fit10.txt;1.08E-01;1.00E+00;8.22E-01;5.07E-04;1.25E-01;9.71E-01
20220818_test16_2.csv_fit10.txt;2.28E-02;1.00E+00;1.01E-01;6.03E-05;3.12E-02;1.01E-03
20220824_test17.csv_fit10.txt;1.51E-02;8.09E-01;1.28E-01;7.64E-05;2.30E-02;6.17E-01

fileName;T4_k1;T4_k2;T4_k3;T4_antiCD8_k1;T4_antiCD8_k2;T4_antiCD8_k3
20220302.csv_fit10.txt;3.59E-03;2.29E-02;3.15E-02;;;
20220310.csv_fit10.txt;1.47E-03;3.63E-02;2.19E-02;;;
20220609_test9.csv_fit10.txt;4.72E-03;4.36E-02;2.00E-02;3.40E-03;2.75E-02;2.74E-04
20220725_test14.csv_fit10.txt;1.76E-03;2.50E-01;3.38E-02;1.77E-04;4.08E-02;1.00E+00
20220824_test17.csv_fit10.txt;1.36E-03;8.60E-01;4.11E-01;1.29E-04;1.10E-01;4.18E-01

fileName;V4_k1;V4_k2;V4_k3;V4_antiCD8_k1;V4_antiCD8_k2;V4_antiCD8_k3
20220302.csv_fit10.txt;3.94E-03;2.06E-02;2.76E-02;;;
20220310.csv_fit10.txt;1.45E-03;3.00E-02;1.70E-02;;;
20220609_test9.csv_fit10.txt;2.65E-03;2.32E-02;9.59E-05;2.42E-03;2.24E-02;8.50E-05
20220725_test14.csv_fit10.txt;6.92E-04;1.74E-01;3.29E-02;2.14E-04;6.34E-02;1.93E-02
20220824_test17.csv_fit10.txt;2.82E-04;2.39E-01;1.84E-01;5.65E-05;3.45E-04;1.21E-05

fileName;UVpep_k1;UVpep_k2;UVpep_k3;UVpep_antiCD8_k1;UVpep_antiCD8_k2;UVpep_antiCD8_k3
20220302.csv_fit10.txt;5.02E-03;1.42E-02;1.94E-02;;;
20220310.csv_fit10.txt;1.74E-03;2.33E-02;1.02E-02;;;
20220323_test6.csv_fit10.txt;1.46E-03;9.00E-02;3.31E-02;1.67E-03;9.66E-02;1.12E-01
20220427_test7.csv_fit10.txt;1.43E-04;4.65E-02;1.05E-05;1.67E-04;4.56E-02;7.46E-01
20220609_test9.csv_fit10.txt;4.97E-03;8.75E-02;8.83E-02;6.05E-03;7.65E-02;5.17E-02
20220725_test14.csv_fit10.txt;6.09E-04;1.09E-01;2.08E-05;3.48E-04;6.77E-02;1.45E-04
20220818_test16.csv_fit10.txt;9.34E-04;2.33E-01;1.11E-03;4.68E-04;1.28E-01;1.23E-03
20220818_test16_2.csv_fit10.txt;1.02E-04;8.80E-02;4.94E-02;4.71E-05;2.10E-02;8.70E-01
20220824_test17.csv_fit10.txt;2.03E-04;1.01E-01;2.29E-01;1.58E-04;8.94E-02;2.07E-01

